,incident_key,occur_date,occur_time,boro,loc_of_occur_desc,loc_classfctn_desc,murder,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,newgeoreferencedcolumn,zipcodes,date_time
811,263692953,02/15/2023,06:00:00,QUEENS,OUTSIDE,DWELLING,N,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,POINT (-73.852878 40.749434),14510.0,2023-02-15 06:00:00
812,262145579,01/18/2023,22:18:00,QUEENS,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,WHITE HISPANIC,POINT (-73.87928 40.753346),14783.0,2023-01-18 22:18:00
813,265354390,03/19/2023,01:48:00,BRONX,OUTSIDE,STREET,Y,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.88722 40.855379),10936.0,2023-03-19 01:48:00
814,264206295,02/25/2023,00:55:00,BROOKLYN,INSIDE,HOUSING,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,F,BLACK,POINT (-73.897168 40.667487),17214.0,2023-02-25 00:55:00
815,261437903,01/05/2023,15:51:00,BROOKLYN,OUTSIDE,STREET,N,<18,M,BLACK,<18,M,BLACK,POINT (-73.914608 40.660111),17614.0,2023-01-05 15:51:00
816,265124476,03/14/2023,12:50:00,MANHATTAN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,ASIAN / PACIFIC ISLANDER,POINT (-73.93924858 40.80765394),13093.0,2023-03-14 12:50:00
817,263529053,02/13/2023,00:35:00,STATEN ISLAND,OUTSIDE,STREET,N,18-24,M,WHITE,25-44,M,BLACK,POINT (-74.147734 40.625009),10700.0,2023-02-13 00:35:00
818,265350047,03/19/2023,12:30:00,QUEENS,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,45-64,F,ASIAN / PACIFIC ISLANDER,POINT (-73.748972 40.749988),14506.0,2023-03-19 12:30:00
819,265730084,03/27/2023,08:15:00,BRONX,OUTSIDE,HOUSING,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,WHITE HISPANIC,POINT (-73.905107 40.816666),10933.0,2023-03-27 08:15:00
820,262673445,01/29/2023,04:30:00,BRONX,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,WHITE HISPANIC,POINT (-73.897846 40.852712),10935.0,2023-01-29 04:30:00
821,264075661,02/22/2023,16:55:00,BRONX,OUTSIDE,STREET,N,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,POINT (-73.927388 40.834751),10930.0,2023-02-22 16:55:00
